Tempo(s);$\Delta P_{12}$_fil_1;$\Delta P_{12}$_amost_fil_1;$\Delta P_{12}$_fil_2;$\Delta P_{12}$_amost_fil_2;$\Delta P_{12}$_fil_3;$\Delta P_{12}$_amost_fil_3
0.09488515822098975;1.2000000000000002;1.2000000000000002;1.28;1.28;1.51;1.495
0.29488515821807937;1.2000000000000002;1.2153999999999998;1.28;1.2836;1.4999999999999998;1.501
0.49488515822244494;1.2000000000000002;1.2496;1.28;1.2830000000000001;1.4999999999999998;1.4967999999999997
0.6948851582195346;1.2000000000000002;1.2578;1.28;1.2848000000000002;1.4999999999999998;1.497
0.8948851582166242;1.2000000000000002;1.278;1.28;1.2818000000000003;1.4999999999999998;1.4587999999999997
1.0948851582209898;1.2000000000000002;1.3527999999999998;1.28;1.2816;1.49;1.4574
1.2948851582180794;1.2000000000000002;1.3521999999999996;1.28;1.2824;1.49;1.4593999999999996
1.494885158222445;1.2000000000000002;1.3503999999999996;1.28;1.2808;1.49;1.4525999999999997
1.6948851582195346;1.2000000000000002;1.3449999999999998;1.28;1.2828;1.48;1.4618
1.8948851582166242;1.2000000000000002;1.3447999999999996;1.28;1.2818;1.48;1.4682
2.0948851582209898;1.2000000000000002;1.3406;1.28;1.2818;1.48;1.4675999999999996
2.2948851582180794;1.2000000000000002;1.3292;1.28;1.2776000000000003;1.4899999999999998;1.4711999999999998
2.494885158222445;1.2000000000000002;1.3294;1.28;1.2732;1.4899999999999998;1.4701999999999995
2.6948851582195346;1.2000000000000002;1.3359999999999999;1.28;1.2664;1.5;1.4685999999999995
2.894885158216624;1.2000000000000002;1.3493999999999997;1.28;1.2596;1.5;1.4713999999999998
3.0948851582209898;1.2000000000000002;1.3603999999999996;1.28;1.2422000000000002;1.5;1.4785999999999995
3.2948851582180794;1.2000000000000002;1.3803999999999996;1.28;1.2414;1.5;1.5149999999999997
3.494885158222445;1.2000000000000002;1.3883999999999994;1.28;1.2298000000000002;1.51;1.5363999999999998
